Kernel,C,Epsilon,Gamma,Shrinking,Mean R2 Score
linear,0.01,0.01,scale,True,0.6655471655374214
linear,0.01,0.01,scale,False,0.665593625858336
rbf,0.01,0.01,scale,True,0.6510565658006612
rbf,0.01,0.01,scale,False,0.6510565658006612
linear,0.01,0.01,auto,True,0.6655471655374214
linear,0.01,0.01,auto,False,0.665593625858336
rbf,0.01,0.01,auto,True,0.6508255107224971
rbf,0.01,0.01,auto,False,0.6508255107224971
linear,0.01,0.01,0.01,True,0.6655471655374214
linear,0.01,0.01,0.01,False,0.665593625858336
rbf,0.01,0.01,0.01,True,0.5612436854470405
rbf,0.01,0.01,0.01,False,0.5612436854470405
linear,0.01,0.01,1,True,0.6655471655374214
linear,0.01,0.01,1,False,0.665593625858336
rbf,0.01,0.01,1,True,-0.015127943681853061
rbf,0.01,0.01,1,False,-0.015127943681853061
linear,0.01,0.1,scale,True,-2.9456948208410108
linear,0.01,0.1,scale,False,-2.9456948208410108
rbf,0.01,0.1,scale,True,-2.952956587800475
rbf,0.01,0.1,scale,False,-2.952956587800475
linear,0.01,0.1,auto,True,-2.9456948208410108
linear,0.01,0.1,auto,False,-2.9456948208410108
rbf,0.01,0.1,auto,True,-2.9528663256853096
rbf,0.01,0.1,auto,False,-2.9528663256853096
linear,0.01,0.1,0.01,True,-2.9456948208410108
linear,0.01,0.1,0.01,False,-2.9456948208410108
rbf,0.01,0.1,0.01,True,-2.9357642963573136
rbf,0.01,0.1,0.01,False,-2.9357642963573136
linear,0.01,0.1,1,True,-2.9456948208410108
linear,0.01,0.1,1,False,-2.9456948208410108
rbf,0.01,0.1,1,True,-2.9301139602356554
rbf,0.01,0.1,1,False,-2.9301139602356554
linear,1,0.01,scale,True,0.6660275749245004
linear,1,0.01,scale,False,0.6659406891312694
rbf,1,0.01,scale,True,0.7606043105273204
rbf,1,0.01,scale,False,0.7606043105273204
linear,1,0.01,auto,True,0.6660275749245004
linear,1,0.01,auto,False,0.6659406891312694
rbf,1,0.01,auto,True,0.7608830382377014
rbf,1,0.01,auto,False,0.7608830382377014
linear,1,0.01,0.01,True,0.6660275749245004
linear,1,0.01,0.01,False,0.6659406891312694
rbf,1,0.01,0.01,True,0.8387133041389191
rbf,1,0.01,0.01,False,0.8388969617088259
linear,1,0.01,1,True,0.6660275749245004
linear,1,0.01,1,False,0.6659406891312694
rbf,1,0.01,1,True,0.01325139210385411
rbf,1,0.01,1,False,0.01325139210385411
linear,1,0.1,scale,True,-2.9456948208410108
linear,1,0.1,scale,False,-2.9456948208410108
rbf,1,0.1,scale,True,-2.952956587800475
rbf,1,0.1,scale,False,-2.952956587800475
linear,1,0.1,auto,True,-2.9456948208410108
linear,1,0.1,auto,False,-2.9456948208410108
rbf,1,0.1,auto,True,-2.9528663256853096
rbf,1,0.1,auto,False,-2.9528663256853096
linear,1,0.1,0.01,True,-2.9456948208410108
linear,1,0.1,0.01,False,-2.9456948208410108
rbf,1,0.1,0.01,True,-2.9482970348475446
rbf,1,0.1,0.01,False,-2.9482970348475446
linear,1,0.1,1,True,-2.9456948208410108
linear,1,0.1,1,False,-2.9456948208410108
rbf,1,0.1,1,True,-2.9301139602356554
rbf,1,0.1,1,False,-2.9301139602356554
linear,10,0.01,scale,True,0.6660504794353339
linear,10,0.01,scale,False,0.6649104754807864
rbf,10,0.01,scale,True,0.7606043105273204
rbf,10,0.01,scale,False,0.7606043105273204
linear,10,0.01,auto,True,0.6660504794353339
linear,10,0.01,auto,False,0.6649104754807864
rbf,10,0.01,auto,True,0.7608830382377014
rbf,10,0.01,auto,False,0.7608830382377014
linear,10,0.01,0.01,True,0.6660504794353339
linear,10,0.01,0.01,False,0.6649104754807864
rbf,10,0.01,0.01,True,0.8397440687680172
rbf,10,0.01,0.01,False,0.83944372063707
linear,10,0.01,1,True,0.6660504794353339
linear,10,0.01,1,False,0.6649104754807864
rbf,10,0.01,1,True,0.01325139210385411
rbf,10,0.01,1,False,0.01325139210385411
linear,10,0.1,scale,True,-2.9456948208410108
linear,10,0.1,scale,False,-2.9456948208410108
rbf,10,0.1,scale,True,-2.952956587800475
rbf,10,0.1,scale,False,-2.952956587800475
linear,10,0.1,auto,True,-2.9456948208410108
linear,10,0.1,auto,False,-2.9456948208410108
rbf,10,0.1,auto,True,-2.9528663256853096
rbf,10,0.1,auto,False,-2.9528663256853096
linear,10,0.1,0.01,True,-2.9456948208410108
linear,10,0.1,0.01,False,-2.9456948208410108
rbf,10,0.1,0.01,True,-2.9482970348475446
rbf,10,0.1,0.01,False,-2.9482970348475446
linear,10,0.1,1,True,-2.9456948208410108
linear,10,0.1,1,False,-2.9456948208410108
rbf,10,0.1,1,True,-2.9301139602356554
rbf,10,0.1,1,False,-2.9301139602356554
