SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
513,0.388,501,0.66,510,0.007,513,0.872,1058,0.431,0.607638423
505,0.049,528,0.053,525,0.876,535,0.871,1085,0.408,0.663996358
522,0.601,525,0.52,526,0.075,517,0.83,961,0.513,0.662136831
540,0.818,522,0.288,519,0.259,509,0.605,914,0.527,0.664384801
523,0.406,512,0.174,535,0.783,504,0.638,902,0.52,0.676781724
506,0.588,529,0.816,503,0.66,528,0.467,995,0.591,0.667865571
508,0.162,500,0.191,515,0.386,531,0.211,943,0.591,0.6295982
535,0.151,524,0.736,507,0.932,527,0.207,1034,0.416,0.655778473
518,0.045,539,0.288,524,0.305,531,0.311,1071,0.578,0.65470582
523,0.323,524,0.727,523,0.682,539,0.148,1037,0.427,0.662941373
523,0.813,521,0.049,508,0.189,510,0.706,976,0.56,0.625430429
518,0.408,536,0.799,510,0.635,531,0.213,968,0.527,0.666044012
527,0.326,513,0.252,539,0.492,510,0.378,1068,0.518,0.66260737
504,0.911,521,0.483,534,0.642,506,0.327,1047,0.559,0.656637055
511,0.159,506,0.065,503,0.526,507,0.837,971,0.542,0.630691029
531,0.77,507,0.764,501,0.044,538,0.617,1009,0.492,0.647921823
539,0.08,506,0.422,527,0.157,512,0.947,908,0.48,0.665030606
505,0.823,524,0.01,525,0.441,530,0.868,1061,0.553,0.647915705
508,0.633,530,0.151,527,0.261,505,0.996,1070,0.54,0.661450273
519,0.078,504,0.21,524,0.367,505,0.177,949,0.448,0.599425767
510,0.345,535,0.448,524,0.851,523,0.784,904,0.533,0.695110504
508,0.785,504,0.926,534,0.585,530,0.802,1020,0.575,0.675054737
535,0.12,528,0.843,516,0.14,528,0.268,1094,0.555,0.636331392
530,0.649,533,0.448,522,0.439,538,0.822,1000,0.525,0.69710202
509,0.911,506,0.675,524,0.098,503,0.884,1044,0.528,0.634482626
524,0.74,526,0.634,521,0.735,519,0.957,1009,0.597,0.683943712
523,0.934,523,0.221,538,0.831,539,0.339,1001,0.423,0.678070799
510,0.52,537,0.618,530,0.504,529,0.156,1028,0.414,0.662752553
522,0.859,533,0.305,532,0.692,507,0.147,1042,0.489,0.652647418
517,0.102,537,0.506,526,0.698,519,0.468,1006,0.495,0.677648367
538,0.69,517,0.947,537,0.73,505,0.204,971,0.553,0.665421996
534,0.351,501,0.355,519,0.991,503,0.95,1024,0.478,0.672334354
525,0.755,501,0.979,535,0.659,520,0.475,922,0.56,0.669324297
511,0.918,515,0.175,502,0.819,522,0.704,958,0.596,0.661138592
526,0.052,532,0.612,517,0.747,501,0.305,1050,0.567,0.645110549
540,0.185,523,0.407,534,0.777,524,0.414,1054,0.542,0.685653828
520,0.732,531,0.704,539,0.423,533,0.265,1092,0.44,0.671744597
511,0.048,500,0.715,538,0.661,503,0.705,999,0.423,0.657265569
505,0.994,537,0.494,537,0.781,529,0.656,1004,0.454,0.685075231
540,0.498,513,0.367,521,0.148,510,0.698,987,0.446,0.656797893
523,0.771,538,0.843,515,0.248,519,0.037,981,0.527,0.623078832
520,0.813,538,0.569,511,0.169,527,0.35,940,0.57,0.65933971
530,0.71,502,0.823,500,0.803,503,0.652,1019,0.405,0.651133457
512,0.939,510,0.733,521,0.482,535,0.075,1072,0.504,0.62762622
528,0.026,510,0.285,503,0.348,516,0.97,1076,0.498,0.642167346
523,0.421,536,0.45,534,0.983,522,0.359,977,0.567,0.688927159
513,0.541,501,0.784,523,0.52,521,1,1005,0.428,0.674555362
537,0.387,501,0.165,516,0.195,504,0.824,921,0.551,0.650315136
526,0.158,503,0.702,506,0.737,523,0.155,960,0.531,0.634831829
533,0.175,521,0.694,521,0.144,522,0.983,1005,0.53,0.673145611
519,0.301,508,0.95,513,0.275,519,0.298,900,0.534,0.643466492
508,0.07,529,0.98,534,0.255,519,0.022,981,0.579,0.600385366
535,0.519,510,0.904,526,0.743,501,0.308,1046,0.4,0.657020557
509,0.621,513,0.328,523,0.916,519,0.965,912,0.493,0.684090191
530,0.593,512,0.662,534,0.005,512,0.97,999,0.409,0.63485121
504,0.35,525,0.352,518,0.749,535,0.976,985,0.427,0.693940879
528,0.173,536,0.673,525,0.691,538,0.783,937,0.457,0.700379412
518,0.96,534,0.558,525,0.1,527,0.646,942,0.595,0.666568797
539,0.92,507,0.847,526,0.412,501,0.792,910,0.458,0.664295156
538,0.463,514,0.352,502,0.662,510,0.977,958,0.515,0.67631817
539,0.502,517,0.495,503,0.448,528,0.288,1017,0.415,0.655790432
529,0.04,537,0.125,532,0.475,505,0.41,997,0.49,0.645748363
510,0.173,508,0.119,535,0.069,532,0.487,1019,0.494,0.625130653
527,0.758,525,0.637,529,0.72,503,0.856,974,0.453,0.679086763
514,0.741,511,0.794,539,0.833,520,0.815,970,0.479,0.680689762
513,0.414,527,0.97,525,0.171,519,0.07,939,0.505,0.618421881
537,0.191,540,0.443,532,0.514,531,0.062,908,0.474,0.664408798
