SEC1 Temperature, SEC2 Temperature, SEC3 Temperature, SEC4 Temperature, SEC1 Pressure, SEC2 Pressure, SEC3 Pressure, SEC4 Pressure, Flow Rate, split ratio, sum of aromatics
513.0, 0.388, 501.0, 0.66, 510.0, 0.007, 513.0, 0.872, 1058.0, 0.431, 71711.522354
505.0, 0.049, 528.0, 0.053, 525.0, 0.876, 535.0, 0.871, 1085.0, 0.408, 80362.507934
522.0, 0.601, 525.0, 0.52, 526.0, 0.075, 517.0, 0.83, 961.0, 0.513, 70978.886185
540.0, 0.818, 522.0, 0.288, 519.0, 0.259, 509.0, 0.605, 914.0, 0.527, 67736.683818
523.0, 0.406, 512.0, 0.174, 535.0, 0.783, 504.0, 0.638, 902.0, 0.52, 68094.683567
506.0, 0.588, 529.0, 0.816, 503.0, 0.66, 528.0, 0.467, 995.0, 0.591, 74125.934798
508.0, 0.162, 500.0, 0.191, 515.0, 0.386, 531.0, 0.211, 943.0, 0.591, 66226.715516
535.0, 0.151, 524.0, 0.736, 507.0, 0.932, 527.0, 0.207, 1034.0, 0.416, 75637.251924
518.0, 0.045, 539.0, 0.288, 524.0, 0.305, 531.0, 0.311, 1071.0, 0.578, 78215.660768
523.0, 0.323, 524.0, 0.727, 523.0, 0.682, 539.0, 0.148, 1037.0, 0.427, 76685.265594
523.0, 0.813, 521.0, 0.049, 508.0, 0.189, 510.0, 0.706, 976.0, 0.56, 68090.554529
518.0, 0.408, 536.0, 0.799, 510.0, 0.635, 531.0, 0.213, 968.0, 0.527, 71917.789821
527.0, 0.326, 513.0, 0.252, 539.0, 0.492, 510.0, 0.378, 1068.0, 0.518, 78937.898641
504.0, 0.911, 521.0, 0.483, 534.0, 0.642, 506.0, 0.327, 1047.0, 0.559, 76688.477337
511.0, 0.159, 506.0, 0.065, 503.0, 0.526, 507.0, 0.837, 971.0, 0.542, 68311.517033
531.0, 0.77, 507.0, 0.764, 501.0, 0.044, 538.0, 0.617, 1009.0, 0.492, 72924.22475
539.0, 0.08, 506.0, 0.422, 527.0, 0.157, 512.0, 0.947, 908.0, 0.48, 67357.433002
505.0, 0.823, 524.0, 0.01, 525.0, 0.441, 530.0, 0.868, 1061.0, 0.553, 76681.73613100001
508.0, 0.633, 530.0, 0.151, 527.0, 0.261, 505.0, 0.996, 1070.0, 0.54, 78947.616719
519.0, 0.078, 504.0, 0.21, 524.0, 0.367, 505.0, 0.177, 949.0, 0.448, 63454.096765999995
510.0, 0.345, 535.0, 0.448, 524.0, 0.851, 523.0, 0.784, 904.0, 0.533, 70093.916717
508.0, 0.785, 504.0, 0.926, 534.0, 0.585, 530.0, 0.802, 1020.0, 0.575, 76806.364186
535.0, 0.12, 528.0, 0.843, 516.0, 0.14, 528.0, 0.268, 1094.0, 0.555, 77653.08554399999
530.0, 0.649, 533.0, 0.448, 522.0, 0.439, 538.0, 0.822, 1000.0, 0.525, 77759.666189
509.0, 0.911, 506.0, 0.675, 524.0, 0.098, 503.0, 0.884, 1044.0, 0.528, 73888.74312099999
524.0, 0.74, 526.0, 0.634, 521.0, 0.735, 519.0, 0.957, 1009.0, 0.597, 76978.523017
523.0, 0.934, 523.0, 0.221, 538.0, 0.831, 539.0, 0.339, 1001.0, 0.423, 75712.426585
510.0, 0.52, 537.0, 0.618, 530.0, 0.504, 529.0, 0.156, 1028.0, 0.414, 75998.071274
522.0, 0.859, 533.0, 0.305, 532.0, 0.692, 507.0, 0.147, 1042.0, 0.489, 75858.524251
517.0, 0.102, 537.0, 0.506, 526.0, 0.698, 519.0, 0.468, 1006.0, 0.495, 76043.20680800002
538.0, 0.69, 517.0, 0.947, 537.0, 0.73, 505.0, 0.204, 971.0, 0.553, 72073.30356
534.0, 0.351, 501.0, 0.355, 519.0, 0.991, 503.0, 0.95, 1024.0, 0.478, 76796.832093
525.0, 0.755, 501.0, 0.979, 535.0, 0.659, 520.0, 0.475, 922.0, 0.56, 68837.57423700001
511.0, 0.918, 515.0, 0.175, 502.0, 0.819, 522.0, 0.704, 958.0, 0.596, 70650.634072
526.0, 0.052, 532.0, 0.612, 517.0, 0.747, 501.0, 0.305, 1050.0, 0.567, 75558.180131
540.0, 0.185, 523.0, 0.407, 534.0, 0.777, 524.0, 0.414, 1054.0, 0.542, 80612.71765899999
520.0, 0.732, 531.0, 0.704, 539.0, 0.423, 533.0, 0.265, 1092.0, 0.44, 81824.783908
511.0, 0.048, 500.0, 0.715, 538.0, 0.661, 503.0, 0.705, 999.0, 0.423, 73242.712022
505.0, 0.994, 537.0, 0.494, 537.0, 0.781, 529.0, 0.656, 1004.0, 0.454, 76723.78593099999
540.0, 0.498, 513.0, 0.367, 521.0, 0.148, 510.0, 0.698, 987.0, 0.446, 72311.429982
523.0, 0.771, 538.0, 0.843, 515.0, 0.248, 519.0, 0.037, 981.0, 0.527, 68182.049332
520.0, 0.813, 538.0, 0.569, 511.0, 0.169, 527.0, 0.35, 940.0, 0.57, 69134.54881
530.0, 0.71, 502.0, 0.823, 500.0, 0.803, 503.0, 0.652, 1019.0, 0.405, 74012.01728200002
512.0, 0.939, 510.0, 0.733, 521.0, 0.482, 535.0, 0.075, 1072.0, 0.504, 75050.555312
528.0, 0.026, 510.0, 0.285, 503.0, 0.348, 516.0, 0.97, 1076.0, 0.498, 77075.887758
523.0, 0.421, 536.0, 0.45, 534.0, 0.983, 522.0, 0.359, 977.0, 0.567, 75080.285649
513.0, 0.541, 501.0, 0.784, 523.0, 0.52, 521.0, 1.0, 1005.0, 0.428, 75620.876489
537.0, 0.387, 501.0, 0.165, 516.0, 0.195, 504.0, 0.824, 921.0, 0.551, 66810.01034
526.0, 0.158, 503.0, 0.702, 506.0, 0.737, 523.0, 0.155, 960.0, 0.531, 67981.066376
533.0, 0.175, 521.0, 0.694, 521.0, 0.144, 522.0, 0.983, 1005.0, 0.53, 75462.836662
519.0, 0.301, 508.0, 0.95, 513.0, 0.275, 519.0, 0.298, 900.0, 0.534, 64599.10365
508.0, 0.07, 529.0, 0.98, 534.0, 0.255, 519.0, 0.022, 981.0, 0.579, 65698.756788
535.0, 0.519, 510.0, 0.904, 526.0, 0.743, 501.0, 0.308, 1046.0, 0.4, 76659.977722
509.0, 0.621, 513.0, 0.328, 523.0, 0.916, 519.0, 0.965, 912.0, 0.493, 69593.11049300001
530.0, 0.593, 512.0, 0.662, 534.0, 0.005, 512.0, 0.97, 999.0, 0.409, 70744.956853
504.0, 0.35, 525.0, 0.352, 518.0, 0.749, 535.0, 0.976, 985.0, 0.427, 76245.94448399999
528.0, 0.173, 536.0, 0.673, 525.0, 0.691, 538.0, 0.783, 937.0, 0.457, 73203.35883999999
518.0, 0.96, 534.0, 0.558, 525.0, 0.1, 527.0, 0.646, 942.0, 0.595, 70041.25659599999
539.0, 0.92, 507.0, 0.847, 526.0, 0.412, 501.0, 0.792, 910.0, 0.458, 67431.14351800001
538.0, 0.463, 514.0, 0.352, 502.0, 0.662, 510.0, 0.977, 958.0, 0.515, 72272.75509600001
539.0, 0.502, 517.0, 0.495, 503.0, 0.448, 528.0, 0.288, 1017.0, 0.415, 74395.056065
529.0, 0.04, 537.0, 0.125, 532.0, 0.475, 505.0, 0.41, 997.0, 0.49, 71815.223891
510.0, 0.173, 508.0, 0.119, 535.0, 0.069, 532.0, 0.487, 1019.0, 0.494, 71056.371284
527.0, 0.758, 525.0, 0.637, 529.0, 0.72, 503.0, 0.856, 974.0, 0.453, 73780.614592
514.0, 0.741, 511.0, 0.794, 539.0, 0.833, 520.0, 0.815, 970.0, 0.479, 73651.059625
513.0, 0.414, 527.0, 0.97, 525.0, 0.171, 519.0, 0.07, 939.0, 0.505, 64775.15874900001
537.0, 0.191, 540.0, 0.443, 532.0, 0.514, 531.0, 0.062, 908.0, 0.474, 67294.453366
517.0, 0.381, 528.0, 0.382, 508.0, 0.607, 520.0, 0.829, 922.0, 0.439, 70400.213801
502.0, 0.944, 534.0, 0.234, 526.0, 0.149, 535.0, 0.313, 916.0, 0.594, 67136.37226599999
501.0, 0.848, 538.0, 0.73, 507.0, 0.969, 528.0, 0.25, 949.0, 0.547, 70294.648617
528.0, 0.509, 534.0, 0.002, 531.0, 0.441, 529.0, 0.353, 1073.0, 0.526, 74757.481913
502.0, 0.075, 511.0, 0.979, 538.0, 0.213, 528.0, 0.1, 1040.0, 0.578, 70920.60986499999
505.0, 0.775, 503.0, 0.305, 530.0, 0.033, 517.0, 0.356, 973.0, 0.439, 64485.105142
511.0, 0.12, 535.0, 0.99, 513.0, 0.302, 517.0, 0.924, 1071.0, 0.533, 79367.50412199998
513.0, 0.544, 524.0, 0.852, 501.0, 0.061, 513.0, 0.445, 1065.0, 0.47, 73609.880454
502.0, 0.173, 537.0, 0.057, 514.0, 0.945, 510.0, 0.148, 919.0, 0.47, 63054.59384999999
525.0, 0.633, 519.0, 0.461, 503.0, 0.552, 501.0, 0.317, 1026.0, 0.485, 73014.70006100001
540.0, 0.737, 521.0, 0.021, 524.0, 0.408, 533.0, 0.777, 1074.0, 0.593, 79475.77831
538.0, 0.945, 503.0, 0.078, 506.0, 0.521, 502.0, 0.604, 1054.0, 0.406, 73239.981471
