Kernel,C,Epsilon,Gamma,Shrinking,Mean R2 Score
linear,0.01,0.01,scale,True,0.6933679704359828
linear,0.01,0.01,scale,False,0.693367970435983
rbf,0.01,0.01,scale,True,0.6785491392654178
rbf,0.01,0.01,scale,False,0.6785491392654178
linear,0.01,0.01,auto,True,0.6933679704359828
linear,0.01,0.01,auto,False,0.693367970435983
rbf,0.01,0.01,auto,True,0.6789684879755948
rbf,0.01,0.01,auto,False,0.6789684879755948
linear,0.01,0.01,0.01,True,0.6933679704359828
linear,0.01,0.01,0.01,False,0.693367970435983
rbf,0.01,0.01,0.01,True,0.5745212638742565
rbf,0.01,0.01,0.01,False,0.5745212638742565
linear,0.01,0.01,1,True,0.6933679704359828
linear,0.01,0.01,1,False,0.693367970435983
rbf,0.01,0.01,1,True,-0.014113328055068486
rbf,0.01,0.01,1,False,-0.014113328055068486
linear,0.01,0.1,scale,True,-0.6216495983026722
linear,0.01,0.1,scale,False,-0.6216495983026722
rbf,0.01,0.1,scale,True,-0.9000611768619583
rbf,0.01,0.1,scale,False,-0.9000611768619583
linear,0.01,0.1,auto,True,-0.6216495983026722
linear,0.01,0.1,auto,False,-0.6216495983026722
rbf,0.01,0.1,auto,True,-0.9000451914274954
rbf,0.01,0.1,auto,False,-0.9000451914274954
linear,0.01,0.1,0.01,True,-0.6216495983026722
linear,0.01,0.1,0.01,False,-0.6216495983026722
rbf,0.01,0.1,0.01,True,-0.7605479965722873
rbf,0.01,0.1,0.01,False,-0.7605479965722873
linear,0.01,0.1,1,True,-0.6216495983026722
linear,0.01,0.1,1,False,-0.6216495983026722
rbf,0.01,0.1,1,True,-0.9043693030397039
rbf,0.01,0.1,1,False,-0.9043693030397039
linear,1,0.01,scale,True,0.6936557333073781
linear,1,0.01,scale,False,0.6938841769007495
rbf,1,0.01,scale,True,0.8069601930432654
rbf,1,0.01,scale,False,0.8069601930432654
linear,1,0.01,auto,True,0.6936557333073781
linear,1,0.01,auto,False,0.6938841769007495
rbf,1,0.01,auto,True,0.8072367727310802
rbf,1,0.01,auto,False,0.8072367727310802
linear,1,0.01,0.01,True,0.6936557333073781
linear,1,0.01,0.01,False,0.6938841769007495
rbf,1,0.01,0.01,True,0.8496224840654906
rbf,1,0.01,0.01,False,0.8496224840654907
linear,1,0.01,1,True,0.6936557333073781
linear,1,0.01,1,False,0.6938841769007495
rbf,1,0.01,1,True,0.05457489179021942
rbf,1,0.01,1,False,0.05457489179021942
linear,1,0.1,scale,True,-0.6216495983026722
linear,1,0.1,scale,False,-0.6216495983026722
rbf,1,0.1,scale,True,-0.9435503995390236
rbf,1,0.1,scale,False,-0.9435503995390236
linear,1,0.1,auto,True,-0.6216495983026722
linear,1,0.1,auto,False,-0.6216495983026722
rbf,1,0.1,auto,True,-0.9432161967518453
rbf,1,0.1,auto,False,-0.9432161967518453
linear,1,0.1,0.01,True,-0.6216495983026722
linear,1,0.1,0.01,False,-0.6216495983026722
rbf,1,0.1,0.01,True,-0.684004806975468
rbf,1,0.1,0.01,False,-0.684004806975468
linear,1,0.1,1,True,-0.6216495983026722
linear,1,0.1,1,False,-0.6216495983026722
rbf,1,0.1,1,True,-0.9813326050944161
rbf,1,0.1,1,False,-0.9813326050944161
linear,10,0.01,scale,True,0.6924339745550092
linear,10,0.01,scale,False,0.6935605319219272
rbf,10,0.01,scale,True,0.8069601930432654
rbf,10,0.01,scale,False,0.8069601930432654
linear,10,0.01,auto,True,0.6924339745550092
linear,10,0.01,auto,False,0.6935605319219272
rbf,10,0.01,auto,True,0.8072367727310802
rbf,10,0.01,auto,False,0.8072367727310802
linear,10,0.01,0.01,True,0.6924339745550092
linear,10,0.01,0.01,False,0.6935605319219272
rbf,10,0.01,0.01,True,0.8808712854093432
rbf,10,0.01,0.01,False,0.8808009310701765
linear,10,0.01,1,True,0.6924339745550092
linear,10,0.01,1,False,0.6935605319219272
rbf,10,0.01,1,True,0.05457489179021942
rbf,10,0.01,1,False,0.05457489179021942
linear,10,0.1,scale,True,-0.6216495983026722
linear,10,0.1,scale,False,-0.6216495983026722
rbf,10,0.1,scale,True,-0.9435503995390236
rbf,10,0.1,scale,False,-0.9435503995390236
linear,10,0.1,auto,True,-0.6216495983026722
linear,10,0.1,auto,False,-0.6216495983026722
rbf,10,0.1,auto,True,-0.9432161967518453
rbf,10,0.1,auto,False,-0.9432161967518453
linear,10,0.1,0.01,True,-0.6216495983026722
linear,10,0.1,0.01,False,-0.6216495983026722
rbf,10,0.1,0.01,True,-0.684004806975468
rbf,10,0.1,0.01,False,-0.684004806975468
linear,10,0.1,1,True,-0.6216495983026722
linear,10,0.1,1,False,-0.6216495983026722
rbf,10,0.1,1,True,-0.9813326050944161
rbf,10,0.1,1,False,-0.9813326050944161
