SEC1 Temperature, SEC1 Pressure, SEC2 Temperature, SEC2 Pressure, SEC3 Temperature, SEC3 Pressure, SEC4 Temperature, SEC4 Pressure, Flow Rate, split ratio,aromatics yield
498,0.538,472,0.602,566,0.478,577,0.631,1089,0.455,0.706004195
570,0.108,579,0.228,499,0.091,538,0.212,906,0.467,0.671800585
565,0.666,524,0.046,588,0.323,518,0.333,1039,0.559,0.689133565
552,0.812,582,0.779,470,0.304,571,0.362,1064,0.564,0.697056844
503,0.902,504,0.371,575,0.93,574,0.928,1014,0.5,0.701918849
492,0.072,470,0.807,499,0.532,561,0.732,998,0.494,0.663801632
475,0.006,567,0.653,547,0.561,543,0.557,1026,0.457,0.691006716
491,0.385,583,0.767,525,0.673,470,0.02,1041,0.592,0.660402572
506,0.752,479,0.439,567,0.844,571,0.019,916,0.577,0.656599722
492,0.397,544,0.865,539,0.034,554,0.952,936,0.459,0.684940194
589,0.203,571,0.637,500,0.947,544,0.97,1098,0.549,0.720886687
586,0.906,474,0.481,543,0.407,548,0.709,1075,0.508,0.692283265
496,0.416,527,0.181,516,0.359,489,0.554,1010,0.583,0.630438331
580,0.455,497,0.829,549,0.515,575,0.002,925,0.53,0.66460391
514,0.211,553,0.018,598,0.896,497,0.572,903,0.427,0.697224426
478,0.388,565,0.291,565,0.407,567,0.523,910,0.419,0.73321599
590,0.092,588,0.758,582,0.248,549,0.581,987,0.487,0.733688065
516,0.273,496,0.465,598,0.595,596,0.478,1010,0.428,0.729675467
471,0.117,563,0.461,569,0.483,506,0.119,957,0.457,0.678194471
564,0.117,490,0.609,536,0.625,529,0.683,988,0.525,0.690481667
584,0.237,542,0.108,523,0.199,579,0.21,957,0.542,0.710859376
551,0.852,593,0.952,571,0.945,587,0.204,1009,0.405,0.704023374
495,0.319,522,0.563,527,0.626,541,0.079,988,0.44,0.645323776
503,0.053,569,0.621,485,0.173,583,0.806,969,0.539,0.707606603
533,0.218,562,0.782,545,0.083,492,0.37,1099,0.402,0.647395293
539,0.902,555,0.609,472,0.75,516,0.23,902,0.493,0.658306349
532,0.91,571,0.62,564,0.232,544,0.474,990,0.584,0.701460471
528,0.13,600,0.528,554,0.683,477,0.498,1007,0.582,0.710494549
547,0.894,497,0.654,597,0.94,587,0.107,1002,0.41,0.695364671
484,0.162,583,0.938,508,0.38,553,0.226,940,0.504,0.682536478
522,0.221,553,0.819,481,0.58,495,0.849,1038,0.438,0.659542541
579,0.008,499,0.325,591,0.538,506,0.41,1043,0.542,0.683887772
476,0.479,491,0.311,525,0.495,559,0.047,1001,0.441,0.606297209
477,0.23,515,0.68,480,0.677,528,0.203,945,0.561,0.62000559
596,0.603,519,0.622,550,0.919,551,0.942,1055,0.421,0.712279872
528,0.324,597,0.754,494,0.675,567,0.716,995,0.598,0.717175248
559,0.733,550,0.842,482,0.272,485,0.994,941,0.434,0.66763149
534,0.852,508,0.736,570,0.073,473,0.434,907,0.576,0.635993995
588,0.858,562,0.884,539,0.884,586,0.692,928,0.576,0.699858226
554,0.647,581,0.345,478,0.2,577,0.775,1064,0.498,0.719035488
596,0.552,537,0.815,486,0.193,513,0.669,1067,0.41,0.68061759
